"","subject","activity","variable","mean"
"1",1,"LAYING","timeBodyAccMEANX",0.22159824394
"2",1,"LAYING","timeBodyAccMEANY",-0.0405139534294
"3",1,"LAYING","timeBodyAccMEANZ",-0.11320355358
"4",1,"LAYING","timeGravityAccMEANX",-0.24888179828
"5",1,"LAYING","timeGravityAccMEANY",0.70554977346
"6",1,"LAYING","timeGravityAccMEANZ",0.4458177198
"7",1,"LAYING","timeBodyAccJerkMEANX",0.0810865342
"8",1,"LAYING","timeBodyAccJerkMEANY",0.0038382040088
"9",1,"LAYING","timeBodyAccJerkMEANZ",0.010834236361
"10",1,"LAYING","timeBodyGyroMEANX",-0.016553093978
"11",1,"LAYING","timeBodyGyroMEANY",-0.064486124088
"12",1,"LAYING","timeBodyGyroMEANZ",0.14868943626
"13",1,"LAYING","timeBodyGyroJerkMEANX",-0.107270949192
"14",1,"LAYING","timeBodyGyroJerkMEANY",-0.04151728689
"15",1,"LAYING","timeBodyGyroJerkMEANZ",-0.0740501211
"16",1,"LAYING","timeBodyAccMagnitudeMEAN..",-0.8419291525
"17",1,"LAYING","timeGravityAccMagnitudeMEAN..",-0.8419291525
"18",1,"LAYING","timeBodyAccJerkMagnitudeMEAN..",-0.9543962646
"19",1,"LAYING","timeBodyGyroMagnitudeMEAN..",-0.874759548
"20",1,"LAYING","timeBodyGyroJerkMagnitudeMEAN..",-0.96346103
"21",1,"LAYING","frequencyBodyAccMEANX",-0.9390990524
"22",1,"LAYING","frequencyBodyAccMEANY",-0.86706520518
"23",1,"LAYING","frequencyBodyAccMEANZ",-0.8826668762
"24",1,"LAYING","frequencyBodyAccMEANFreqX",-0.158792670508
"25",1,"LAYING","frequencyBodyAccMEANFreqY",0.097534841586
"26",1,"LAYING","frequencyBodyAccMEANFreqZ",0.08943765522
"27",1,"LAYING","frequencyBodyAccJerkMEANX",-0.9570738838
"28",1,"LAYING","frequencyBodyAccJerkMEANY",-0.9224626098
"29",1,"LAYING","frequencyBodyAccJerkMEANZ",-0.9480609042
"30",1,"LAYING","frequencyBodyAccJerkMEANFreqX",0.132419092398
"31",1,"LAYING","frequencyBodyAccJerkMEANFreqY",0.024513618956
"32",1,"LAYING","frequencyBodyAccJerkMEANFreqZ",0.02438794528
"33",1,"LAYING","frequencyBodyGyroMEANX",-0.850249174586
"34",1,"LAYING","frequencyBodyGyroMEANY",-0.9521914948
"35",1,"LAYING","frequencyBodyGyroMEANZ",-0.909302721
"36",1,"LAYING","frequencyBodyGyroMEANFreqX",-0.003546795856
"37",1,"LAYING","frequencyBodyGyroMEANFreqY",-0.091529130882
"38",1,"LAYING","frequencyBodyGyroMEANFreqZ",0.01045812566
"39",1,"LAYING","frequencyBodyAccMagnitudeMEAN..",-0.8617676481
"40",1,"LAYING","frequencyBodyAccMagnitudeMEANFreq..",0.08640856294
"41",1,"LAYING","frequencyBodyBodyAccJerkMagnitudeMEAN..",-0.9333003608
"42",1,"LAYING","frequencyBodyBodyAccJerkMagnitudeMEANFreq..",0.26639115416
"43",1,"LAYING","frequencyBodyBodyGyroMagnitudeMEAN..",-0.8621901854
"44",1,"LAYING","frequencyBodyBodyGyroMagnitudeMEANFreq..",-0.1397750127
"45",1,"LAYING","frequencyBodyBodyGyroJerkMagnitudeMEAN..",-0.9423669466
"46",1,"LAYING","frequencyBodyBodyGyroJerkMagnitudeMEANFreq..",0.17648590708
"47",1,"LAYING","angle.tBodyAccMean.gravity.",0.0213659655642
"48",1,"LAYING","angle.tBodyAccJerkMean..gravityMean.",0.00306040735
"49",1,"LAYING","angle.tBodyGyroMean.gravityMean.",-0.001666984698
"50",1,"LAYING","angle.tBodyGyroJerkMean.gravityMean.",0.08443716468
"51",1,"LAYING","angle.X.gravityMean.",0.4267062264
"52",1,"LAYING","angle.Y.gravityMean.",-0.52034381798
"53",1,"LAYING","angle.Z.gravityMean.",-0.35241310896
"54",1,"LAYING","timeBodyAccSTDEVX",-0.9280564692
"55",1,"LAYING","timeBodyAccSTDEVY",-0.83682740562
"56",1,"LAYING","timeBodyAccSTDEVZ",-0.826061401628
"57",1,"LAYING","timeGravityAccSTDEVX",-0.8968300184
"58",1,"LAYING","timeGravityAccSTDEVY",-0.90772000676
"59",1,"LAYING","timeGravityAccSTDEVZ",-0.85236629022
"60",1,"LAYING","timeBodyAccJerkSTDEVX",-0.958482112
"61",1,"LAYING","timeBodyAccJerkSTDEVY",-0.9241492736
"62",1,"LAYING","timeBodyAccJerkSTDEVZ",-0.9548551108
"63",1,"LAYING","timeBodyGyroSTDEVX",-0.87354386782
"64",1,"LAYING","timeBodyGyroSTDEVY",-0.9510904402
"65",1,"LAYING","timeBodyGyroSTDEVZ",-0.9082846626
"66",1,"LAYING","timeBodyGyroJerkSTDEVX",-0.9186085208
"67",1,"LAYING","timeBodyGyroJerkSTDEVY",-0.9679072436
"68",1,"LAYING","timeBodyGyroJerkSTDEVZ",-0.9577901596
"69",1,"LAYING","timeBodyAccMagnitudeSTDEV.",-0.79514486386
"70",1,"LAYING","timeGravityAccMagnitudeSTDEV.",-0.79514486386
"71",1,"LAYING","timeBodyAccJerkMagnitudeSTDEV.",-0.9282456284
"72",1,"LAYING","timeBodyGyroMagnitudeSTDEV.",-0.81901016976
"73",1,"LAYING","timeBodyGyroJerkMagnitudeSTDEV.",-0.9358409828
"74",1,"LAYING","frequencyBodyAccSTDEVX",-0.9244374346
"75",1,"LAYING","frequencyBodyAccSTDEVY",-0.8336255561
"76",1,"LAYING","frequencyBodyAccSTDEVZ",-0.81289155944
"77",1,"LAYING","frequencyBodyAccJerkSTDEVX",-0.9641607086
"78",1,"LAYING","frequencyBodyAccJerkSTDEVY",-0.9322178704
"79",1,"LAYING","frequencyBodyAccJerkSTDEVZ",-0.9605869872
"80",1,"LAYING","frequencyBodyGyroSTDEVX",-0.8822964508
"81",1,"LAYING","frequencyBodyGyroSTDEVY",-0.9512320494
"82",1,"LAYING","frequencyBodyGyroSTDEVZ",-0.9165825082
"83",1,"LAYING","frequencyBodyAccMagnitudeSTDEV.",-0.7983009404
"84",1,"LAYING","frequencyBodyBodyAccJerkMagnitudeSTDEV.",-0.9218039756
"85",1,"LAYING","frequencyBodyBodyGyroMagnitudeSTDEV.",-0.82431943968
"86",1,"LAYING","frequencyBodyBodyGyroJerkMagnitudeSTDEV.",-0.9326606676
"87",1,"SITTING","timeBodyAccMEANX",0.261237565425532
"88",1,"SITTING","timeBodyAccMEANY",-0.00130828765170213
"89",1,"SITTING","timeBodyAccMEANZ",-0.104544182255319
"90",1,"SITTING","timeGravityAccMEANX",0.831509933404255
"91",1,"SITTING","timeGravityAccMEANY",0.204411592680851
"92",1,"SITTING","timeGravityAccMEANZ",0.332043702765957
"93",1,"SITTING","timeBodyAccJerkMEANX",0.0774825199574468
"94",1,"SITTING","timeBodyAccJerkMEANY",-0.000619102785106384
"95",1,"SITTING","timeBodyAccJerkMEANZ",-0.00336779235021277
"96",1,"SITTING","timeBodyGyroMEANX",-0.045350056512766
"97",1,"SITTING","timeBodyGyroMEANY",-0.0919241549361702
"98",1,"SITTING","timeBodyGyroMEANZ",0.0629313811914894
"99",1,"SITTING","timeBodyGyroJerkMEANX",-0.0936793807234043
"100",1,"SITTING","timeBodyGyroJerkMEANY",-0.0402118124255319
"101",1,"SITTING","timeBodyGyroJerkMEANZ",-0.046702627
"102",1,"SITTING","timeBodyAccMagnitudeMEAN..",-0.948536786170213
"103",1,"SITTING","timeGravityAccMagnitudeMEAN..",-0.948536786170213
"104",1,"SITTING","timeBodyAccJerkMagnitudeMEAN..",-0.987364195531915
"105",1,"SITTING","timeBodyGyroMagnitudeMEAN..",-0.93089249
"106",1,"SITTING","timeBodyGyroJerkMagnitudeMEAN..",-0.991976341276596
"107",1,"SITTING","frequencyBodyAccMEANX",-0.979641238723404
"108",1,"SITTING","frequencyBodyAccMEANY",-0.944084550425532
"109",1,"SITTING","frequencyBodyAccMEANZ",-0.959184889148936
"110",1,"SITTING","frequencyBodyAccMEANFreqX",-0.0495135975489362
"111",1,"SITTING","frequencyBodyAccMEANFreqY",0.0759460768510638
"112",1,"SITTING","frequencyBodyAccMEANFreqZ",0.238829870148936
"113",1,"SITTING","frequencyBodyAccJerkMEANX",-0.986597022553191
"114",1,"SITTING","frequencyBodyAccJerkMEANY",-0.981579467021277
"115",1,"SITTING","frequencyBodyAccJerkMEANZ",-0.986053092340425
"116",1,"SITTING","frequencyBodyAccJerkMEANFreqX",0.256610823568085
"117",1,"SITTING","frequencyBodyAccJerkMEANFreqY",0.0475437839595745
"118",1,"SITTING","frequencyBodyAccJerkMEANFreqZ",0.0923920032553192
"119",1,"SITTING","frequencyBodyGyroMEANX",-0.976161464042553
"120",1,"SITTING","frequencyBodyGyroMEANY",-0.975838585319149
"121",1,"SITTING","frequencyBodyGyroMEANZ",-0.951315544468085
"122",1,"SITTING","frequencyBodyGyroMEANFreqX",0.189153021260851
"123",1,"SITTING","frequencyBodyGyroMEANFreqY",0.0631270669787234
"124",1,"SITTING","frequencyBodyGyroMEANFreqZ",-0.0297839207446809
"125",1,"SITTING","frequencyBodyAccMagnitudeMEAN..",-0.947782922553192
"126",1,"SITTING","frequencyBodyAccMagnitudeMEANFreq..",0.236655011680851
"127",1,"SITTING","frequencyBodyBodyAccJerkMagnitudeMEAN..",-0.985262126808511
"128",1,"SITTING","frequencyBodyBodyAccJerkMagnitudeMEANFreq..",0.351852201957447
"129",1,"SITTING","frequencyBodyBodyGyroMagnitudeMEAN..",-0.958435589361702
"130",1,"SITTING","frequencyBodyBodyGyroMagnitudeMEANFreq..",-0.000262186717021277
"131",1,"SITTING","frequencyBodyBodyGyroJerkMagnitudeMEAN..",-0.989797547234043
"132",1,"SITTING","frequencyBodyBodyGyroJerkMagnitudeMEANFreq..",0.184775928085106
"133",1,"SITTING","angle.tBodyAccMean.gravity.",0.0274415479191489
"134",1,"SITTING","angle.tBodyAccJerkMean..gravityMean.",0.0297097878297872
"135",1,"SITTING","angle.tBodyGyroMean.gravityMean.",0.0676981338723404
"136",1,"SITTING","angle.tBodyGyroJerkMean.gravityMean.",-0.064881619087234
"137",1,"SITTING","angle.X.gravityMean.",-0.591247480212766
"138",1,"SITTING","angle.Y.gravityMean.",-0.0604660253808511
"139",1,"SITTING","angle.Z.gravityMean.",-0.218017225106383
"140",1,"SITTING","timeBodyAccSTDEVX",-0.977229008297872
"141",1,"SITTING","timeBodyAccSTDEVY",-0.922618641914894
"142",1,"SITTING","timeBodyAccSTDEVZ",-0.93958629106383
"143",1,"SITTING","timeGravityAccSTDEVX",-0.968457145744681
"144",1,"SITTING","timeGravityAccSTDEVY",-0.935517055957447
"145",1,"SITTING","timeGravityAccSTDEVZ",-0.949040933191489
"146",1,"SITTING","timeBodyAccJerkSTDEVX",-0.986430711276596
"147",1,"SITTING","timeBodyAccJerkSTDEVY",-0.981371965319149
"148",1,"SITTING","timeBodyAccJerkSTDEVZ",-0.987910804468085
"149",1,"SITTING","timeBodyGyroSTDEVX",-0.977211283191489
"150",1,"SITTING","timeBodyGyroSTDEVY",-0.966473895319149
"151",1,"SITTING","timeBodyGyroSTDEVZ",-0.941425920851064
"152",1,"SITTING","timeBodyGyroJerkSTDEVX",-0.99173159212766
"153",1,"SITTING","timeBodyGyroJerkSTDEVY",-0.989518068510638
"154",1,"SITTING","timeBodyGyroJerkSTDEVZ",-0.987935806382979
"155",1,"SITTING","timeBodyAccMagnitudeSTDEV.",-0.927078418723404
"156",1,"SITTING","timeGravityAccMagnitudeSTDEV.",-0.927078418723404
"157",1,"SITTING","timeBodyAccJerkMagnitudeSTDEV.",-0.984120024042553
"158",1,"SITTING","timeBodyGyroMagnitudeSTDEV.",-0.934531840425532
"159",1,"SITTING","timeBodyGyroJerkMagnitudeSTDEV.",-0.988308728510638
"160",1,"SITTING","frequencyBodyAccSTDEVX",-0.976412313191489
